2024-10-09 17:23:23, BPM: 0, SpO2: 0
2024-10-09 17:52:58, BPM: 88.0, SpO2: 99.855786
2024-10-09 17:52:59, BPM: 80.5, SpO2: 99.855786
2024-10-09 17:52:59, BPM: 78.0, SpO2: 99.43662599999999
2024-10-15 22:28:19, BPM: 0, SpO2: 0
2024-10-15 22:28:22, BPM: 0, SpO2: 0
2024-10-15 22:28:22, BPM: 59.0, SpO2: 97.54442399999999
2024-10-15 22:28:23, BPM: 49.5, SpO2: 97.54442399999999
2024-10-15 22:28:23, BPM: 45.0, SpO2: 99.24465
2024-10-15 22:28:23, BPM: 52.25, SpO2: 99.24465
2024-10-15 22:28:23, BPM: 70.25, SpO2: 99.24465
2024-10-15 22:28:23, BPM: 74.5, SpO2: 99.24465
2024-10-15 22:28:23, BPM: 69.5, SpO2: 99.24465
2024-10-15 22:28:26, BPM: 112.5, SpO2: 99.24465
2024-10-15 22:28:29, BPM: 94.75, SpO2: 62.827704
2024-10-15 22:28:32, BPM: 176.5, SpO2: 99.345144
2024-10-15 22:31:33, BPM: 0, SpO2: 0
2024-10-15 22:31:36, BPM: 0, SpO2: 0
2024-10-15 22:31:39, BPM: 200.5, SpO2: 79.839
2024-10-15 22:31:42, BPM: 250.0, SpO2: 33.172050000000006
2024-10-15 22:31:45, BPM: 150.0, SpO2: 11.978345999999988
2024-10-15 22:35:30, BPM: 0, SpO2: 0
2024-10-15 22:35:33, BPM: 0, SpO2: 0
2024-10-15 22:35:36, BPM: 107.0, SpO2: 83.82282599999999
2024-10-15 22:35:39, BPM: 117.5, SpO2: 73.3818
2024-10-15 22:35:42, BPM: 107.0, SpO2: 2.9477999999999724
2024-10-15 22:35:56, BPM: 0, SpO2: 0
2024-10-15 22:35:59, BPM: 0, SpO2: 0
2024-10-15 22:36:03, BPM: 232.0, SpO2: 62.827704
2024-10-15 22:36:06, BPM: 250.0, SpO2: 48.602999999999994
2024-10-15 22:36:09, BPM: 187.0, SpO2: 26.431913999999992
2024-10-15 22:39:58, BPM: 0, SpO2: 0
2024-10-15 22:40:01, BPM: 0, SpO2: 0
2024-10-15 22:40:04, BPM: 91.0, SpO2: 89.190936
2024-10-15 22:40:07, BPM: 145.25, SpO2: 25.277015999999975
2024-10-15 22:40:10, BPM: 136.0, SpO2: 15.713399999999993
